INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
HB120-32rs v2,120,456,12.3298,4.867,11.113,3.6503,9.8963,2.4335,1.233,0.4867,11.5141,4.0513,10.4652,3.0025,Intel,32,true
HB120-64rs v2,120,456,12.3298,4.867,11.113,3.6503,9.8963,2.4335,1.233,0.4867,11.5141,4.0513,10.4652,3.0025,Intel,64,true
HB120-96rs v2,120,456,12.3298,4.867,11.113,3.6503,9.8963,2.4335,1.233,0.4867,11.5141,4.0513,10.4652,3.0025,Intel,96,true
HB120rs v3,120,448,11.113,3.6503,9.8963,2.4335,1.233,0.4867,9.085,1.6222,10.4652,3.0025,1.233,0.4867,Intel,120,true
HB120-16rs v3,120,448,11.113,3.6503,9.8963,2.4335,1.233,0.4867,9.085,1.6222,10.4652,3.0025,1.233,0.4867,Intel,16,true
HB120-32rs v3,120,448,11.113,3.6503,9.8963,2.4335,1.233,0.4867,9.085,1.6222,10.4652,3.0025,1.233,0.4867,Intel,32,true
HB120-64rs v3,120,448,11.113,3.6503,9.8963,2.4335,1.233,0.4867,9.085,1.6222,10.4652,3.0025,1.233,0.4867,Intel,64,true
HB120-96rs v3,120,448,11.113,3.6503,9.8963,2.4335,1.233,0.4867,9.085,1.6222,10.4652,3.0025,1.233,0.4867,Intel,96,true
HB176rs v4,176,656,20.6794,9.734,18.2461,7.3007,15.8125,4.8671,5.1699,2.4335,19.048,8.1026,16.9503,6.0049,Intel,176,true
HB176-144rs v4,176,640,20.6794,9.734,18.2461,7.3007,15.8125,4.8671,5.1699,2.4335,19.048,8.1026,16.9503,6.0049,Intel,144,true
HB176-24rs v4,176,640,20.6794,9.734,18.2461,7.3007,15.8125,4.8671,5.1699,2.4335,19.048,8.1026,16.9503,6.0049,Intel,24,true
HB176-48rs v4,176,640,20.6794,9.734,18.2461,7.3007,15.8125,4.8671,5.1699,2.4335,19.048,8.1026,16.9503,6.0049,Intel,48,true
HB176-96rs v4,176,640,20.6794,9.734,18.2461,7.3007,15.8125,4.8671,5.1699,2.4335,19.048,8.1026,16.9503,6.0049,Intel,96,true
HX176rs,176,1300,19.7059,8.7605,16.7857,5.8403,5.6566,2.9202,14.8385,3.8932,18.1513,7.2059,5.6566,2.9202,Intel,176,true
HX176-144rs,176,1300,19.7059,8.7605,16.7857,5.8403,5.6566,2.9202,14.8385,3.8932,18.1513,7.2059,5.6566,2.9202,Intel,144,true
HX176-24rs,176,1300,19.7059,8.7605,16.7857,5.8403,5.6566,2.9202,14.8385,3.8932,18.1513,7.2059,5.6566,2.9202,Intel,24,true
HX176-48rs,176,1300,19.7059,8.7605,16.7857,5.8403,5.6566,2.9202,14.8385,3.8932,18.1513,7.2059,5.6566,2.9202,Intel,48,true
HX176-96rs,176,1300,19.7059,8.7605,16.7857,5.8403,5.6566,2.9202,14.8385,3.8932,18.1513,7.2059,5.6566,2.9202,Intel,96,true
HC44rs,44,352,7.0193,4.283,6.3769,3.6405,5.7345,2.9981,0.7019,0.4283,6.4454,3.7091,6.0347,3.2983,Intel,44,true
HC44-16rs,44,352,7.0193,4.283,6.3769,3.6405,5.7345,2.9981,0.7019,0.4283,6.4454,3.7091,6.0347,3.2983,Intel,16,true
HC44-32rs,44,352,7.0193,4.283,6.3769,3.6405,5.7345,2.9981,0.7019,0.4283,6.4454,3.7091,6.0347,3.2983,Intel,32,true
