INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
D2d v5,2,8,0.205,0.113,0.1587,0.0667,0.1349,0.0429,0.0205,0.0113,0.1692,0.0772,0.1436,0.0516,Intel,2,false
D4d v5,4,16,0.41,0.226,0.3173,0.1333,0.2699,0.0859,0.041,0.0226,0.3385,0.1545,0.2872,0.1032,Intel,4,false
D8d v5,8,32,0.82,0.452,0.6347,0.2667,0.5398,0.1718,0.082,0.0452,0.6769,0.3089,0.5744,0.2064,Intel,8,false
D16d v5,16,64,1.64,0.904,1.2693,0.5333,1.0795,0.3435,0.164,0.0904,1.3539,0.6179,1.1489,0.4129,Intel,16,false
D32d v5,32,128,3.28,1.808,2.5387,1.0667,2.159,0.687,0.328,0.1808,2.7078,1.2358,2.2977,0.8257,Intel,32,false
D48d v5,48,192,4.92,2.712,3.8081,1.6001,3.2386,1.0306,0.492,0.2712,4.0617,1.8537,3.4466,1.2386,Intel,48,false
D64d v5,64,256,6.56,3.616,5.0775,2.1335,4.3181,1.3741,0.656,0.3616,5.4155,2.4715,4.5954,1.6514,Intel,64,false
D96d v5,96,384,9.84,5.424,7.6161,3.2001,6.4771,2.0611,0.984,0.5424,8.1233,3.7073,6.8931,2.4771,Intel,96,false
D2ds v5,2,8,0.205,0.113,0.1587,0.0667,0.1349,0.0429,0.0205,0.0113,0.1692,0.0772,0.1436,0.0516,Intel,2,true
D4ds v5,4,16,0.41,0.226,0.3173,0.1333,0.2699,0.0859,0.041,0.0226,0.3385,0.1545,0.2872,0.1032,Intel,4,true
D8ds v5,8,32,0.82,0.452,0.6347,0.2667,0.5398,0.1718,0.082,0.0452,0.6769,0.3089,0.5744,0.2064,Intel,8,true
D16ds v5,16,64,1.64,0.904,1.2693,0.5333,1.0795,0.3435,0.164,0.0904,1.3539,0.6179,1.1489,0.4129,Intel,16,true
D32ds v5,32,128,3.28,1.808,2.5387,1.0667,2.159,0.687,0.328,0.1808,2.7078,1.2358,2.2977,0.8257,Intel,32,true
D48ds v5,48,192,4.92,2.712,3.8081,1.6001,3.2386,1.0306,0.492,0.2712,4.0617,1.8537,3.4466,1.2386,Intel,48,true
D64ds v5,64,256,6.56,3.616,5.0775,2.1335,4.3181,1.3741,0.656,0.3616,5.4155,2.4715,4.5954,1.6514,Intel,64,true
D96ds v5,96,384,9.84,5.424,7.6161,3.2001,6.4771,2.0611,0.984,0.5424,8.1233,3.7073,6.8931,2.4771,Intel,96,true
D2 v5,2,8,0.188,0.096,0.1486,0.0566,0.1285,0.0365,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,Intel,2,false
D4 v5,4,16,0.376,0.192,0.2972,0.1132,0.257,0.073,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,Intel,4,false
D8 v5,8,32,0.752,0.384,0.5946,0.2266,0.5139,0.1459,0.0752,0.0384,0.6314,0.2634,0.5447,0.1767,Intel,8,false
D16 v5,16,64,1.504,0.768,1.1891,0.4531,1.0279,0.2919,0.1504,0.0768,1.2627,0.5267,1.0894,0.3534,Intel,16,false
D32 v5,32,128,3.008,1.536,2.3783,0.9063,2.0557,0.5837,0.3008,0.1536,2.5254,1.0534,2.1789,0.7069,Intel,32,false
D48 v5,48,192,4.512,2.304,3.5674,1.3594,3.0835,0.8755,0.4512,0.2304,3.7881,1.5801,3.2683,1.0603,Intel,48,false
D64 v5,64,256,6.016,3.072,4.7564,1.8124,4.1114,1.1674,0.6016,0.3072,5.0508,2.1068,4.3577,1.4137,Intel,64,false
D96 v5,96,384,9.024,4.608,7.1347,2.7187,6.167,1.751,0.9024,0.4608,7.5762,3.1602,6.5366,2.1206,Intel,96,false
D2s v5,2,8,0.188,0.096,0.1486,0.0566,0.1285,0.0365,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,Intel,2,true
D4s v5,4,16,0.376,0.192,0.2972,0.1132,0.257,0.073,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,Intel,4,true
D8s v5,8,32,0.752,0.384,0.5946,0.2266,0.5139,0.1459,0.0752,0.0384,0.6314,0.2634,0.5447,0.1767,Intel,8,true
D16s v5,16,64,1.504,0.768,1.1891,0.4531,1.0279,0.2919,0.1504,0.0768,1.2627,0.5267,1.0894,0.3534,Intel,16,true
D32s v5,32,128,3.008,1.536,2.3783,0.9063,2.0557,0.5837,0.3008,0.1536,2.5254,1.0534,2.1789,0.7069,Intel,32,true
D48s v5,48,192,4.512,2.304,3.5674,1.3594,3.0835,0.8755,0.4512,0.2304,3.7881,1.5801,3.2683,1.0603,Intel,48,true
D64s v5,64,256,6.016,3.072,4.7564,1.8124,4.1114,1.1674,0.6016,0.3072,5.0508,2.1068,4.3577,1.4137,Intel,64,true
D96s v5,96,384,9.024,4.608,7.1347,2.7187,6.167,1.751,0.9024,0.4608,7.5762,3.1602,6.5366,2.1206,Intel,96,true
D2ls v5,2,4,0.177,0.085,0.1421,0.0501,0.1243,0.0323,0.0443,0.0213,0.149,0.057,0.1294,0.0374,Intel,2,true
D4ls v5,4,8,0.354,0.17,0.2843,0.1003,0.2486,0.0646,0.0885,0.0425,0.2979,0.1139,0.2588,0.0748,Intel,4,true
D8ls v5,8,16,0.708,0.34,0.5686,0.2006,0.4972,0.1292,0.177,0.085,0.5958,0.2278,0.5176,0.1496,Intel,8,true
D16ls v5,16,32,1.416,0.68,1.1373,0.4013,0.9944,0.2584,0.354,0.17,1.1916,0.4556,1.0352,0.2992,Intel,16,true
D32ls v5,32,64,2.832,1.36,2.2744,0.8024,1.9888,0.5168,0.708,0.34,2.3832,0.9112,2.0704,0.5984,Intel,32,true
D48ls v5,48,96,4.248,2.04,3.4117,1.2037,2.9832,0.7752,1.062,0.51,3.5748,1.3668,3.1056,0.8976,Intel,48,true
D64ls v5,64,128,5.664,2.72,4.5488,1.6048,3.9776,1.0336,1.416,0.68,4.7664,1.8224,4.1408,1.1968,Intel,64,true
D96ls v5,96,192,8.496,4.08,6.8232,2.4072,5.9664,1.5504,2.124,1.02,7.1496,2.7336,6.2112,1.7952,Intel,96,true
D2lds v5,2,4,0.188,0.096,0.1486,0.0566,0.1266,0.0346,0.047,0.024,0.1563,0.0643,0.1342,0.0422,Intel,2,true
D4lds v5,4,8,0.376,0.192,0.2972,0.1132,0.2531,0.0691,0.094,0.048,0.3126,0.1286,0.2685,0.0845,Intel,4,true
D8lds v5,8,16,0.752,0.384,0.5946,0.2266,0.5062,0.1382,0.188,0.096,0.6253,0.2573,0.537,0.169,Intel,8,true
D16lds v5,16,32,1.504,0.768,1.1891,0.4531,1.0125,0.2765,0.376,0.192,1.2506,0.5146,1.0739,0.3379,Intel,16,true
D32lds v5,32,64,3.008,1.536,2.3783,0.9063,2.025,0.553,0.752,0.384,2.5011,1.0291,2.1478,0.6758,Intel,32,true
D48lds v5,48,96,4.512,2.304,3.5674,1.3594,3.0375,0.8295,1.128,0.576,3.7517,1.5437,3.2218,1.0138,Intel,48,true
